VARIABLE,NULOS,PORCENTAJE_NULOS
MVINOMBRE,528,2.03
PK_CALZADA,133,0.511
BARRIO,4,0.015
FORMULARIO,0,0.0
HORA_OCURRENCIA_ACC,0,0.0
ANO_OCURRENCIA_ACC,0,0.0
GRAVEDAD,0,0.0
MES_OCURRENCIA_ACC,0,0.0
DIA_OCURRENCIA_ACC,0,0.0
DIRECCION,0,0.0
MUNICIPIO,0,0.0
LOCALIDAD,0,0.0
CLASE_ACC,0,0.0
FECHA_HORA_ACC,0,0.0
LONGITUD,0,0.0
LATITUD,0,0.0
DISTANCIA_VIA,0,0.0
TIPO_MICROMOVILIDAD,0,0.0
