MES,ACCIDENTES,PORCENTAJE
ENERO,1876,7.21
FEBRERO,2448,9.41
MARZO,2410,9.27
ABRIL,2050,7.88
MAYO,2159,8.3
JUNIO,2175,8.36
JULIO,2135,8.21
AGOSTO,2177,8.37
SEPTIEMBRE,2276,8.75
OCTUBRE,2288,8.8
NOVIEMBRE,2131,8.19
DICIEMBRE,1882,7.24
