VARIABLE,NULOS,PORCENTAJE_NULOS
MVINOMBRE,4509,1.624
PK_CALZADA,1125,0.405
BARRIO,21,0.008
FORMULARIO,0,0.0
HORA_OCURRENCIA_ACC,0,0.0
DIRECCION,0,0.0
ANO_OCURRENCIA_ACC,0,0.0
MES_OCURRENCIA_ACC,0,0.0
DIA_OCURRENCIA_ACC,0,0.0
LOCALIDAD,0,0.0
CLASE_ACC,0,0.0
GRAVEDAD,0,0.0
MUNICIPIO,0,0.0
LONGITUD,0,0.0
LATITUD,0,0.0
FECHA_HORA_ACC,0,0.0
DISTANCIA_VIA,0,0.0
