ANO_OCURRENCIA_ACC,ACCIDENTES,PORCENTAJE
2018,4345,16.71
2019,4888,18.79
2020,4647,17.87
2021,2644,10.17
2022,2489,9.57
2023,2239,8.61
2024,2152,8.27
2025,1777,6.83
2026,826,3.18
