DIA_SEMANA,ACCIDENTES,PORCENTAJE
Lunes,3631,13.96
Martes,4194,16.13
Miércoles,4058,15.6
Jueves,4082,15.7
Viernes,4149,15.95
Sábado,3529,13.57
Domingo,2364,9.09
