BARRIO,ACCIDENTES
PARQUE POPULAR SALITRE,36
JOSE JOAQUIN VARGAS,36
LA PRADERA,36
SANTANDER,36
NICOLAS DE FEDERMAN,36
ABRAHAM LINCOLN,36
VILLA DEL MAR,35
MONTEVIDEO,35
EL TOBERIN,35
CHAPINERO CENTRAL,35
CIUDAD SALITRE NOR-ORIENTAL,35
SAN FRANCISCO RURAL,35
TUNA RURAL,35
CIUDAD HUNZA,34
JUAN XXIII,34
LA ANDREA,34
CIUDAD KENNEDY OCCIDENTAL,34
EL PARAISO BOSA,34
VERACRUZ,34
BRITALIA,34
EL BAGAZAL,34
CHICO NORTE III SECTOR,33
CANTAGALLO,33
VILLAS DE ALCALA,33
SAN CAYETANO,33
IBERIA,33
ARBORIZADORA BAJA,33
EL REAL,33
SAN CARLOS,33
SIERRA MORENA,33
TUNJUELITO,32
FLORENCIA,32
POLO CLUB,32
PALOQUEMAO,32
LA TRINIDAD,32
EL MOCHUELO ORIENTAL,32
LA GIRALDA,32
ESCUELA DE INFANTERIA,32
EL PLAN,32
VERBENAL SAN ANTONIO,32
CIUDAD JARDIN SUR,32
SANTA FE BOSA,32
BELEN FONTIBON,31
BOYACA,31
CAOBOS SALAZAR,31
JIMENEZ DE QUESADA,31
TIMIZA B,31
SAN JOSE DEL PRADO,31
ISLANDIA,31
DOCE DE OCTUBRE,31
EDUARDO FREY,31
SABANA DE TIBABUYES NORTE,31
MOLINOS NORTE,31
FLORIDA BLANCA,30
SANTA INES,30
BARAJAS NORTE,30
EL DORADO INDUSTRIAL,30
LOS EJIDOS,30
KASANDRA,30
EL LAUREL,30
EL VERVENAL,30
PRIMAVERA II,30
LA PICOTA,30
LAS ACACIAS,29
CANODROMO,29
LA FRAGUITA,29
VILLAS DE GRANADA,29
ALTOS DE CHOZICA,29
QUIRIGUA II,29
LAGO GAITAN,29
PASTRANA,29
BELLO HORIZONTE,29
LA ASUNCION,29
TEUSAQUILLO,28
EL RINCON,28
LAS AMERICAS,28
VILLA LUZ,28
JACQUELINE,28
SANTA BARBARA CENTRAL,28
BELALCAZAR,28
