HORA_NUM,ACCIDENTES,PORCENTAJE
0,214,0.82
1,118,0.45
2,98,0.38
3,84,0.32
4,213,0.82
5,1074,4.13
6,2109,8.11
7,2335,8.98
8,1664,6.4
9,1217,4.68
10,1081,4.16
11,1120,4.31
12,1227,4.72
13,1322,5.08
14,1315,5.06
15,1274,4.9
16,1382,5.31
17,1786,6.87
18,1648,6.34
19,1460,5.61
20,1162,4.47
21,970,3.73
22,694,2.67
23,440,1.69
