LOCALIDAD,ACCIDENTES,PORCENTAJE
KENNEDY,101,28.13
SUBA,65,18.11
FONTIBON,44,12.26
BOSA,43,11.98
CIUDAD BOLIVAR,23,6.41
USAQUEN,20,5.57
ENGATIVA,16,4.46
PUENTE ARANDA,8,2.23
CHAPINERO,7,1.95
BARRIOS UNIDOS,7,1.95
RAFAEL URIBE URIBE,6,1.67
SANTA FE,5,1.39
TEUSAQUILLO,4,1.11
LOS MARTIRES,3,0.84
SAN CRISTOBAL,3,0.84
TUNJUELITO,2,0.56
ANTONIO NARIÑO,1,0.28
USME,1,0.28
