HORA_NUM,ACCIDENTES,PORCENTAJE
0,3,0.84
1,3,0.84
2,3,0.84
3,2,0.56
4,3,0.84
5,7,1.95
6,30,8.36
7,29,8.08
8,28,7.8
9,21,5.85
10,19,5.29
11,20,5.57
12,20,5.57
13,15,4.18
14,23,6.41
15,23,6.41
16,14,3.9
17,19,5.29
18,18,5.01
19,15,4.18
20,20,5.57
21,11,3.06
22,8,2.23
23,5,1.39
