ANO_OCURRENCIA_ACC,ACCIDENTES,PORCENTAJE
2018,1,0.28
2019,3,0.84
2020,3,0.84
2021,13,3.62
2022,78,21.73
2023,96,26.74
2024,105,29.25
2025,42,11.7
2026,18,5.01
