MES,ACCIDENTES,PORCENTAJE
ENERO,7,5.93
FEBRERO,13,11.02
MARZO,8,6.78
ABRIL,11,9.32
MAYO,6,5.08
JUNIO,7,5.93
JULIO,14,11.86
AGOSTO,8,6.78
SEPTIEMBRE,10,8.47
OCTUBRE,10,8.47
NOVIEMBRE,12,10.17
DICIEMBRE,12,10.17
