LOCALIDAD,ACCIDENTES,PORCENTAJE
KENNEDY,28,23.73
SUBA,17,14.41
FONTIBON,13,11.02
ENGATIVA,11,9.32
USAQUEN,9,7.63
PUENTE ARANDA,8,6.78
TEUSAQUILLO,5,4.24
BARRIOS UNIDOS,5,4.24
SANTA FE,4,3.39
CIUDAD BOLIVAR,4,3.39
BOSA,4,3.39
TUNJUELITO,3,2.54
LOS MARTIRES,2,1.69
CHAPINERO,2,1.69
SAN CRISTOBAL,2,1.69
RAFAEL URIBE URIBE,1,0.85
