ANO_OCURRENCIA_ACC,ACCIDENTES,PORCENTAJE
2018,4343,17.0
2019,4884,19.11
2020,4641,18.16
2021,2625,10.27
2022,2398,9.38
2023,2126,8.32
2024,2020,7.9
2025,1719,6.73
2026,798,3.12
