CLASE_ACC,ACCIDENTES,PORCENTAJE
CHOQUE,23922,93.61
ATROPELLO,1087,4.25
VOLCAMIENTO,489,1.91
OTRO,39,0.15
CAIDA DE OCUPANTE,17,0.07
