MES,ACCIDENTES,PORCENTAJE
ENERO,1842,7.21
FEBRERO,2399,9.39
MARZO,2381,9.32
ABRIL,2015,7.89
MAYO,2127,8.32
JUNIO,2134,8.35
JULIO,2091,8.18
AGOSTO,2140,8.37
SEPTIEMBRE,2234,8.74
OCTUBRE,2253,8.82
NOVIEMBRE,2088,8.17
DICIEMBRE,1850,7.24
